bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price,day_bought,month_bought,year_bought,yr_diff_renovated,yr_diff_bought,sqrt_diff,sqrt_diff_15,yr_renovated_binary,basement_binary,sqft_living_log,sqft_above_log,sqft_living15_log
4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275,1450000,2,3,2015,78,101,15039,8215,1,1,7.919356190660617,7.590852123688581,8.026170194946426
5,3.5,2320,4960,2.0,0,0,5,7,1720,600,1926,0,98103,47.6763,-122.352,1700,4960,822500,13,6,2014,0,88,2640,3260,0,1,7.749322464660356,7.450079569807499,7.438383530044307
4,2.25,2010,9603,1.0,0,0,3,8,1440,570,1986,0,98027,47.5343,-122.054,2060,9793,660500,28,4,2015,0,29,7593,7733,0,1,7.605890001053122,7.272398392570047,7.630461261783627
4,3.5,2140,2278,3.0,0,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,1540,2285,675000,26,1,2015,0,10,138,745,0,0,7.668561108015897,7.668561108015897,7.3395376954076745
2,1.0,1110,3200,1.0,0,0,3,7,1110,0,1925,0,98119,47.6338,-122.358,1170,3600,665000,27,6,2014,0,89,2090,2430,0,0,7.01211529430638,7.01211529430638,7.064759027791802
4,1.0,2550,4000,2.0,0,0,3,8,2370,180,1905,0,98109,47.6354,-122.353,2200,4000,890000,25,6,2014,0,109,1450,1800,0,1,7.843848638152472,7.7706452341291765,7.696212639346407
3,2.5,3400,16603,2.0,0,0,3,10,3400,0,2000,0,98075,47.6012,-122.023,3400,12601,900000,4,3,2015,0,15,13203,9201,0,0,8.131530710604252,8.131530710604252,8.131530710604252
4,2.5,2680,4499,2.0,0,0,3,9,2680,0,1999,0,98006,47.565,-122.125,2920,4500,807100,24,3,2015,0,16,1819,1580,0,0,7.893572073504902,7.893572073504902,7.979338895262328
3,2.5,2680,9750,1.0,0,0,4,8,1610,1070,1979,0,98034,47.7028,-122.231,2480,8750,653000,5,6,2014,0,35,7070,6270,0,1,7.893572073504902,7.383989457978509,7.8160138391590275
4,2.25,2590,8190,2.0,0,0,4,8,2590,0,1980,0,98006,47.5619,-122.125,2260,8335,673000,29,9,2014,0,34,5600,6075,0,0,7.859413154693583,7.859413154693583,7.723120092266331
4,2.75,3130,13412,2.0,0,0,3,9,2140,990,1993,0,98052,47.6993,-122.102,2260,9984,835000,5,9,2014,0,21,10282,7724,0,1,8.048788283534199,7.668561108015897,7.723120092266331
3,2.5,2140,9897,1.0,0,0,4,8,2140,0,1959,0,98040,47.5505,-122.219,2680,10083,799000,12,9,2014,0,55,7757,7403,0,0,7.668561108015897,7.668561108015897,7.893572073504902
4,1.75,2480,11010,1.0,0,0,4,9,1630,850,1966,0,98040,47.5378,-122.219,2770,10744,840000,4,8,2014,0,48,8530,7974,0,1,7.8160138391590275,7.396335293800808,7.926602599181384
3,2.5,2440,4587,2.0,0,0,3,8,2440,0,2010,0,98052,47.7073,-122.114,2750,4587,677900,19,9,2014,0,4,2147,1837,0,0,7.799753318287247,7.799753318287247,7.919356190660617
4,2.5,2760,6440,2.0,0,0,3,10,2760,0,1999,0,98075,47.5836,-122.026,3070,8127,686000,22,8,2014,0,15,3680,5057,0,0,7.9229859587111955,7.9229859587111955,8.029432840581244
2,1.75,1450,15798,2.0,1,4,3,7,1230,220,1915,1978,98166,47.4497,-122.375,2030,13193,655000,13,4,2015,63,100,14348,11163,1,1,7.27931883541462,7.114769448366463,7.615791072035833
4,2.5,2460,4425,2.0,0,0,3,8,2460,0,2006,0,98052,47.7048,-122.109,2990,5659,693000,29,8,2014,0,8,1965,2669,0,0,7.807916628926408,7.807916628926408,8.003028666384733
3,1.0,1660,4400,1.5,0,0,3,8,1460,200,1911,0,98112,47.6362,-122.302,1660,4400,780000,2,12,2014,0,103,2740,2740,0,1,7.414572881350589,7.286191714702382,7.414572881350589
5,3.0,3830,8480,2.0,0,1,5,9,2630,1200,1905,1994,98122,47.6166,-122.287,3050,7556,2050000,13,5,2015,89,110,4650,4506,1,1,8.250620082174692,7.874739125171811,8.022896869601457
4,2.5,3500,7048,2.0,0,0,3,9,3500,0,2005,0,98053,47.6811,-122.025,3920,7864,780000,30,6,2014,0,9,3548,3944,0,0,8.160518247477505,8.160518247477505,8.273846932784508
3,1.75,1920,3300,1.0,0,0,4,8,960,960,1913,0,98112,47.6239,-122.298,1740,4000,725000,17,2,2015,0,102,1380,2260,0,1,7.560080465021827,6.866933284461882,7.461640392208575
4,2.75,3320,10574,2.0,0,0,5,8,2220,1100,1960,0,98056,47.5376,-122.18,2720,8330,665000,8,1,2015,0,55,7254,5610,0,1,8.107720061910534,7.705262474866325,7.908387159290043
4,2.5,2370,4000,1.5,0,2,5,8,1980,390,1928,0,98144,47.601,-122.294,2440,5750,834000,9,2,2015,0,87,1630,3310,0,1,7.7706452341291765,7.590852123688581,7.799753318287247
5,2.5,3650,9050,2.0,0,4,5,10,3370,280,1921,0,98119,47.6345,-122.367,2880,5400,2380000,2,5,2014,0,93,5400,2520,0,1,8.202482446576537,8.122668023346407,7.965545573129992
5,2.75,3150,7119,2.0,0,0,3,9,3150,0,2013,0,98052,47.6759,-122.151,1560,8384,819900,13,5,2014,0,1,3969,6824,0,0,8.055157731819678,8.055157731819678,7.352441100243583
4,2.0,2050,4400,1.5,0,0,4,9,2050,0,1922,0,98102,47.644,-122.319,2320,5500,740000,5,9,2014,0,92,2350,3180,0,0,7.6255950721324535,7.6255950721324535,7.749322464660356
3,2.25,2370,10289,1.0,0,0,4,9,1590,780,1977,0,98005,47.592,-122.166,2500,10004,790000,25,7,2014,0,37,7919,7504,0,1,7.7706452341291765,7.371489295214277,7.824046010856292
4,3.5,2800,6750,2.0,0,0,3,9,1890,910,1951,2002,98105,47.669,-122.275,2370,6120,880000,16,9,2014,51,63,3950,3750,1,1,7.937374696163295,7.5443321080536885,7.7706452341291765
4,2.0,2490,9525,2.0,0,0,5,9,2490,0,1968,0,98040,47.5639,-122.217,2770,9525,940000,3,7,2014,0,46,7035,6755,0,0,7.820037989458753,7.820037989458753,7.926602599181384
4,2.0,1510,3500,1.5,0,0,5,7,1510,0,1911,0,98103,47.6794,-122.357,1820,3750,791500,22,7,2014,0,103,1990,1930,0,0,7.31986492980897,7.31986492980897,7.506591780070841
4,3.5,3040,8414,2.0,0,0,3,9,2420,620,2010,0,98059,47.5222,-122.157,3470,8066,684000,6,11,2014,0,4,5374,4596,0,1,8.019612794400267,7.791522819150732,8.151909872940905
4,2.75,2270,10460,2.0,0,0,3,9,2270,0,1965,0,98040,47.5603,-122.222,2610,10180,855000,22,9,2014,0,49,8190,7570,0,0,7.727535110475448,7.727535110475448,7.867105500316739
3,2.5,2440,5750,2.0,0,2,3,9,1980,460,2000,0,98116,47.565,-122.381,1520,5750,679900,5,8,2014,0,14,3310,4230,0,1,7.799753318287247,7.590852123688581,7.326465613840322
4,2.5,2990,10400,2.0,0,0,3,9,2990,0,2002,0,98166,47.4508,-122.359,2140,17449,673000,26,3,2015,0,13,7410,15309,0,0,8.003028666384733,8.003028666384733,7.668561108015897
4,2.5,3520,15420,2.0,0,0,3,10,3520,0,1991,0,98074,47.6375,-122.016,3400,21455,810000,1,10,2014,0,23,11900,18055,0,0,8.166216268592143,8.166216268592143,8.131530710604252
4,2.5,3230,7331,2.0,0,0,3,10,3230,0,2004,0,98075,47.5823,-121.97,3480,7447,730000,20,5,2014,0,10,4101,3967,0,0,8.080237416216702,8.080237416216702,8.15478757276852
3,3.0,4040,14338,2.0,0,0,3,10,3030,1010,1986,0,98077,47.7268,-122.06,3360,14142,950000,5,8,2014,0,28,10298,10782,0,1,8.303999970955196,8.016317898503415,8.11969625295725
4,2.25,2510,11585,2.0,0,0,4,8,2510,0,1969,0,98040,47.5483,-122.226,2450,9691,799000,11,11,2014,0,45,9075,7241,0,0,7.828038032125829,7.828038032125829,7.803843303538772
4,2.75,3300,12090,2.0,0,0,3,8,3300,0,1953,0,98004,47.6294,-122.218,3180,12239,927000,12,5,2014,0,61,8790,9059,0,0,8.101677747454572,8.101677747454572,8.064636475774222
4,2.5,3840,16619,2.0,0,1,4,10,3840,0,1983,0,98040,47.5634,-122.213,3600,16553,1120000,28,7,2014,0,31,12779,12953,0,0,8.253227645581772,8.253227645581772,8.1886891244442
3,2.0,2350,15021,1.0,0,0,4,8,1770,580,1976,0,98004,47.6408,-122.219,3530,15715,1300000,25,2,2015,0,39,12671,12185,0,1,7.762170607138205,7.478734825567875,8.169053149927343
4,2.5,2610,3277,1.5,0,0,5,8,1920,690,1922,0,98103,47.6636,-122.33,1810,3277,1000000,22,7,2014,0,92,667,1467,0,1,7.867105500316739,7.560080465021827,7.501082124259871
4,2.5,1710,9627,1.0,0,0,3,9,1440,270,1976,2014,98006,47.559,-122.164,2140,9131,749000,16,9,2014,38,38,7917,6991,1,1,7.444248649496705,7.272398392570047,7.668561108015897
3,2.5,3130,8750,2.0,0,0,3,10,3130,0,1991,0,98052,47.6954,-122.103,2860,9003,843000,12,3,2015,0,24,5620,6143,0,0,8.048788283534199,8.048788283534199,7.958576903813898
3,2.5,3545,9816,1.0,0,0,3,10,2610,935,2005,0,98027,47.5534,-122.078,3630,7704,1030000,10,11,2014,0,9,6271,4074,0,1,8.173293438966228,7.867105500316739,8.196987927258897
3,2.75,2360,16117,1.0,0,0,4,8,1710,650,1983,0,98006,47.5698,-122.121,2120,16117,691100,21,4,2015,0,32,13757,13997,0,1,7.7664168980196555,7.444248649496705,7.659171367666058
3,1.75,1870,9897,1.0,0,0,4,8,1870,0,1960,0,98040,47.5505,-122.221,1900,10005,811000,14,10,2014,0,54,8027,8105,0,0,7.533693709848633,7.533693709848633,7.549609165154532
4,3.5,3450,7832,2.0,0,0,3,10,3450,0,2007,0,98006,47.5637,-122.123,3220,8567,1050000,26,6,2014,0,7,4382,5347,0,0,8.146129510025405,8.146129510025405,8.077136638538454
3,4.25,3840,6161,2.0,0,0,3,10,3840,0,2000,0,98074,47.6336,-122.064,3230,7709,868700,13,2,2015,0,15,2321,4479,0,0,8.253227645581772,8.253227645581772,8.080237416216702
4,2.75,4110,8400,2.0,0,1,3,9,3130,980,1928,2013,98125,47.717,-122.281,2820,8400,1200000,13,11,2014,85,86,4290,5580,1,1,8.32117830749028,8.048788283534199,7.944492163932159
4,2.75,3390,6298,2.0,0,0,3,9,3390,0,2011,0,98074,47.5906,-122.062,3390,7111,859900,11,8,2014,0,3,2908,3721,0,0,8.128585200374497,8.128585200374497,8.128585200374497
3,3.0,2990,9773,2.0,0,0,4,8,2990,0,1973,0,98005,47.6344,-122.174,2230,11553,849950,25,3,2015,0,42,6783,9323,0,0,8.003028666384733,8.003028666384733,7.709756864454165
4,2.75,2810,7302,2.0,0,0,3,9,2810,0,2002,0,98075,47.5985,-121.977,2820,7302,699900,16,12,2014,0,12,4492,4482,0,0,7.940939762327791,7.940939762327791,7.944492163932159
5,2.5,3400,9500,2.0,0,1,4,8,3400,0,1977,0,98027,47.5645,-122.082,3080,11081,1280000,10,2,2015,0,38,6100,8001,0,0,8.131530710604252,8.131530710604252,8.03268487596762
5,2.5,2820,14062,2.0,0,0,4,7,2380,440,1960,0,98034,47.7081,-122.215,1910,10392,669950,30,10,2014,0,54,11242,8482,0,1,7.944492163932159,7.77485576666552,7.554858521040676
4,2.0,2110,4140,2.0,0,0,3,9,1710,400,1925,2003,98116,47.5836,-122.387,1440,4420,725000,28,1,2015,78,90,2030,2980,1,1,7.6544432264701125,7.444248649496705,7.272398392570047
4,2.5,2770,7800,2.0,0,0,3,10,2770,0,1999,0,98033,47.684,-122.205,2720,10000,1200000,15,10,2014,0,15,5030,7280,0,0,7.926602599181384,7.926602599181384,7.908387159290043
4,3.75,4030,10800,2.0,0,0,3,10,4030,0,2006,0,98033,47.6821,-122.196,2160,7200,1490000,12,6,2014,0,8,6770,5040,0,0,8.301521654940728,8.301521654940728,7.67786350067821
3,2.5,2400,7745,2.0,0,0,3,9,2400,0,2001,0,98033,47.6734,-122.173,2080,8615,750000,7,5,2015,0,14,5345,6535,0,0,7.783224016336037,7.783224016336037,7.640123172695364
2,2.0,1240,9119,1.0,0,0,4,7,1240,0,1952,0,98004,47.6221,-122.193,1380,9121,727500,21,11,2014,0,62,7879,7741,0,0,7.122866658599083,7.122866658599083,7.22983877815125
4,2.5,2380,9614,2.0,0,0,4,10,2380,0,1991,0,98006,47.5623,-122.116,2560,9770,782000,23,5,2014,0,23,7234,7210,0,0,7.77485576666552,7.77485576666552,7.847762537473608
3,1.75,2180,10221,1.0,0,2,4,7,1140,1040,1946,0,98040,47.5885,-122.248,2180,8535,705000,23,7,2014,0,68,8041,6355,0,1,7.687080155783135,7.038783541388542,7.687080155783135
3,2.5,2870,5163,2.0,0,0,3,9,2870,0,2014,0,98103,47.6935,-122.352,1630,7995,880000,17,12,2014,0,0,2293,6365,0,0,7.962067308753666,7.962067308753666,7.396335293800808
5,2.75,2160,4000,1.5,0,0,5,7,1530,630,1927,0,98105,47.667,-122.289,2040,4000,671500,14,8,2014,0,87,1840,1960,0,1,7.67786350067821,7.333023014386481,7.620705086838262
4,4.0,3200,7708,2.0,0,0,3,10,3200,0,2004,0,98075,47.5816,-121.97,3480,7944,720000,23,1,2015,0,11,4508,4464,0,0,8.070906088787819,8.070906088787819,8.15478757276852
2,2.25,2130,4920,1.5,0,4,4,7,1530,600,1941,0,98116,47.573,-122.409,2130,4920,730000,1,7,2014,0,73,2790,2790,0,1,7.6638772587034705,7.333023014386481,7.6638772587034705
3,2.5,3180,12600,2.0,0,0,4,11,3180,0,1978,0,98074,47.6366,-122.058,3030,12835,900000,8,7,2014,0,36,9420,9805,0,0,8.064636475774222,8.064636475774222,8.016317898503415
3,2.0,2060,2900,1.5,0,0,5,8,1330,730,1931,0,98144,47.5897,-122.292,1910,3900,685000,14,3,2015,0,84,840,1990,0,1,7.630461261783627,7.1929342212158,7.554858521040676
4,2.25,3200,15367,2.0,0,0,4,9,3200,0,1962,0,98040,47.5494,-122.216,3070,15263,1220000,5,8,2014,0,52,12167,12193,0,0,8.070906088787819,8.070906088787819,8.029432840581244
3,2.75,2540,4694,2.0,0,0,3,9,2540,0,2005,0,98074,47.6214,-122.024,2600,6344,695000,10,6,2014,0,9,2154,3744,0,0,7.8399193600125825,7.8399193600125825,7.8632667240095735
3,1.75,1900,9375,1.0,0,1,4,8,1330,570,1941,0,98115,47.6821,-122.273,2760,9375,1040000,6,4,2015,0,74,7475,6615,0,1,7.549609165154532,7.1929342212158,7.9229859587111955
3,1.5,3000,5750,2.0,0,0,5,9,2000,1000,1924,0,98116,47.5821,-122.39,1820,5750,1120000,9,4,2015,0,91,2750,3930,0,1,8.006367567650246,7.600902459542082,7.506591780070841
3,2.5,1660,1091,3.0,0,1,3,9,1530,130,2015,0,98116,47.5818,-122.402,1510,1352,729500,12,5,2015,0,0,-569,-158,0,1,7.414572881350589,7.333023014386481,7.31986492980897
3,2.5,3180,10492,2.0,0,2,3,10,3180,0,1991,0,98052,47.655,-122.124,3000,9812,1000000,22,4,2015,0,24,7312,6812,0,0,8.064636475774222,8.064636475774222,8.006367567650246
4,3.5,2770,3330,2.0,0,0,3,8,1970,800,2001,0,98052,47.6327,-122.109,2180,3380,748000,2,1,2015,0,14,560,1200,0,1,7.926602599181384,7.585788821732034,7.687080155783135
3,1.5,1250,8710,1.0,0,0,4,7,1250,0,1953,0,98004,47.6245,-122.198,1750,9185,888000,2,9,2014,0,61,7460,7435,0,0,7.1308988302963465,7.1308988302963465,7.4673710669175595
4,2.5,2630,4000,3.0,0,0,3,8,2630,0,2002,0,98117,47.6915,-122.381,1640,4000,655000,30,9,2014,0,12,1370,2360,0,0,7.874739125171811,7.874739125171811,7.402451520818244
4,3.25,3160,5000,2.0,0,0,5,9,2360,800,1965,0,98105,47.6597,-122.274,2220,4000,1250000,2,8,2014,0,49,1840,1780,0,1,8.058327306580958,7.7664168980196555,7.705262474866325
4,2.75,2510,11880,1.0,0,0,5,8,1630,880,1978,0,98006,47.5427,-122.181,2390,11211,664000,16,3,2015,0,37,9370,8821,0,1,7.828038032125829,7.396335293800808,7.779048644925556
4,1.75,1800,4180,2.0,0,3,4,8,1800,0,1921,0,98102,47.6462,-122.318,2180,4620,865000,29,7,2014,0,93,2380,2440,0,0,7.495541943884256,7.495541943884256,7.687080155783135
5,2.75,2990,6768,2.0,0,0,3,9,2990,0,2014,0,98006,47.5462,-122.182,2870,6768,802541,5,1,2015,0,1,3778,3898,0,0,8.003028666384733,8.003028666384733,7.962067308753666
4,2.25,2240,11034,2.0,0,0,3,8,2240,0,1976,0,98004,47.5894,-122.195,2300,11550,980000,9,10,2014,0,38,8794,9250,0,0,7.7142311448490855,7.7142311448490855,7.7406644019172415
2,1.0,1380,5000,1.5,0,2,3,5,1380,0,1905,0,98106,47.5708,-122.359,1500,5000,795000,7,4,2015,0,110,3620,3500,0,0,7.22983877815125,7.22983877815125,7.313220387090301
3,3.25,3400,5979,2.0,0,0,4,9,2290,1110,1937,0,98105,47.6585,-122.273,3090,6435,1300000,13,11,2014,0,77,2579,3345,0,1,8.131530710604252,7.736307096548285,8.035926369891792
3,1.75,2150,4200,1.0,0,4,5,8,1140,1010,1960,0,98116,47.5671,-122.405,2510,7500,950000,10,12,2014,0,54,2050,4990,0,1,7.673223121121708,7.038783541388542,7.828038032125829
2,2.5,2380,6600,1.0,0,0,3,8,2380,0,2010,0,98053,47.717,-122.02,1870,6600,699800,28,8,2014,0,4,4220,4730,0,0,7.77485576666552,7.77485576666552,7.533693709848633
3,1.75,1370,3850,1.0,0,0,5,7,770,600,1911,1988,98112,47.6374,-122.279,1390,3600,850000,3,6,2014,77,103,2480,2210,1,1,7.222566018822171,6.646390514847729,7.237059026124737
2,2.25,3950,3938,2.0,0,4,3,10,2910,1040,1991,0,98116,47.5912,-122.384,3220,4500,1310000,21,1,2015,0,24,-12,1280,0,1,8.281470857895167,7.975908360165538,8.077136638538454
4,2.25,2400,13430,1.0,0,0,4,9,2400,0,1964,0,98005,47.5987,-122.178,2580,10077,856600,2,2,2015,0,51,11030,7497,0,0,7.783224016336037,7.783224016336037,7.855544677915663
4,2.25,2490,9864,1.0,0,0,4,8,1290,1200,1961,0,98004,47.6051,-122.195,2360,9864,824000,24,3,2015,0,54,7374,7504,0,1,7.820037989458753,7.162397497355718,7.7664168980196555
4,2.5,2430,6099,1.0,0,0,5,8,1470,960,1965,0,98115,47.6777,-122.287,2180,6099,760000,7,1,2015,0,50,3669,3919,0,1,7.795646536334594,7.293017679772782,7.687080155783135
4,1.0,2000,4800,2.0,0,0,4,7,2000,0,1911,0,98103,47.6583,-122.351,1260,1452,715000,21,1,2015,0,104,2800,192,0,0,7.600902459542082,7.600902459542082,7.138866999945524
4,2.5,2810,11120,2.0,0,0,3,9,2810,0,1982,0,98074,47.6337,-122.044,3100,12672,675000,23,6,2014,0,32,8310,9572,0,0,7.940939762327791,7.940939762327791,8.039157390473237
4,3.5,3550,11000,1.0,0,2,3,11,2260,1290,1999,0,98006,47.5506,-122.134,4100,10012,1360000,9,7,2014,0,15,7450,5912,0,1,8.174702882469461,7.723120092266331,8.318742252692399
4,2.0,1740,9000,1.0,0,0,5,8,1740,0,1958,0,98033,47.6815,-122.198,1850,7700,710000,26,9,2014,0,56,7260,5850,0,0,7.461640392208575,7.461640392208575,7.52294091807237
5,2.75,2760,5000,2.0,0,0,3,9,2760,0,2005,0,98059,47.539,-122.188,2870,5030,682000,14,8,2014,0,9,2240,2160,0,0,7.9229859587111955,7.9229859587111955,7.962067308753666
3,2.0,3010,5000,2.0,0,2,5,9,1890,1120,1931,0,98199,47.6347,-122.396,2688,5000,1100000,1,9,2014,0,83,1990,2312,0,1,8.009695357742922,7.5443321080536885,7.89655270164304
3,1.75,2010,3090,1.5,0,0,5,7,1510,500,1926,0,98103,47.682,-122.348,1600,3150,825000,12,5,2015,0,89,1080,1550,0,1,7.605890001053122,7.31986492980897,7.3777589082278725
4,2.0,1530,4080,1.5,0,0,4,7,1530,0,1912,0,98105,47.6645,-122.325,1860,4080,664000,25,11,2014,0,102,2550,2220,0,0,7.333023014386481,7.333023014386481,7.528331766707247
3,3.5,2480,3200,2.0,0,0,3,10,2480,0,2010,0,98144,47.5951,-122.307,1980,3200,910000,3,3,2015,0,5,720,1220,0,0,7.8160138391590275,7.8160138391590275,7.590852123688581
4,2.5,3300,10514,2.0,0,0,3,10,3300,0,1984,0,98074,47.6323,-122.036,2820,11462,785000,11,2,2015,0,31,7214,8642,0,0,8.101677747454572,8.101677747454572,7.944492163932159
3,2.25,3060,12095,2.0,0,0,3,10,3060,0,1983,0,98006,47.5611,-122.106,3060,11455,860000,30,5,2014,0,31,9035,8395,0,0,8.026170194946426,8.026170194946426,8.026170194946426
3,1.75,2040,4000,2.0,0,0,5,7,1360,680,1924,0,98105,47.6675,-122.289,1610,4000,720000,12,9,2014,0,90,1960,2390,0,1,7.620705086838262,7.215239978730097,7.383989457978509
4,2.5,2200,4000,2.0,0,0,5,8,1430,770,1908,0,98119,47.6402,-122.37,2100,4000,930000,3,6,2014,0,106,1800,1900,0,1,7.696212639346407,7.265429723253953,7.649692623711514
5,2.5,3200,17204,1.0,0,0,3,7,2160,1040,1952,0,98004,47.6209,-122.222,4090,15732,1270000,4,6,2014,0,62,14004,11642,0,1,8.070906088787819,7.67786350067821,8.316300249036848
5,3.25,2400,3118,2.0,0,0,4,7,1780,620,1928,0,98122,47.6094,-122.291,2100,3941,700000,11,11,2014,0,86,718,1841,0,1,7.783224016336037,7.484368643286131,7.649692623711514
4,1.0,1820,5400,1.5,0,0,3,8,1820,0,1923,2014,98102,47.6476,-122.318,1820,5400,1010000,10,11,2014,91,91,3580,3580,1,0,7.506591780070841,7.506591780070841,7.506591780070841
4,2.25,2190,9009,2.0,0,0,4,8,1840,350,1977,0,98033,47.6916,-122.188,2190,10251,730000,11,3,2015,0,38,6819,8061,0,1,7.691656822810547,7.517520850603031,7.691656822810547
4,3.5,2970,14486,2.0,0,0,3,9,2340,630,1997,0,98040,47.5627,-122.215,3680,14486,905000,20,6,2014,0,17,11516,10806,0,1,7.996317231796746,7.757906208351747,8.210668031162976
4,3.5,3810,13592,1.0,0,1,3,9,2560,1250,2013,0,98056,47.5134,-122.2,3230,9311,839900,9,5,2014,0,1,9782,6081,0,1,8.245384468120747,7.847762537473608,8.080237416216702
3,2.25,2380,11824,1.0,0,0,4,9,1450,930,1972,0,98040,47.5371,-122.218,2750,11491,800000,23,6,2014,0,42,9444,8741,0,1,7.77485576666552,7.27931883541462,7.919356190660617
4,2.0,2330,5000,1.5,0,0,5,7,1720,610,1925,0,98117,47.6804,-122.358,2090,5000,891000,17,7,2014,0,89,2670,2910,0,1,7.753623546559746,7.450079569807499,7.644919344958857
5,2.5,2750,5589,1.5,0,0,5,9,1840,910,1910,0,98112,47.6364,-122.3,1460,4250,915000,28,8,2014,0,104,2839,2790,0,1,7.919356190660617,7.517520850603031,7.286191714702382
3,3.0,2230,12968,2.0,0,0,3,9,2230,0,1990,0,98004,47.6271,-122.197,2260,10160,1320000,8,4,2015,0,25,10738,7900,0,0,7.709756864454165,7.709756864454165,7.723120092266331
