bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price,day_bought,month_bought,yr_diff_renovated,yr_diff_bought,sqrt_diff,sqrt_diff_15,sqft_living_log,sqft_above_log,sqft_living15_log,0,1,2014,2015,0,1,0,1,0,1
3,1.0,1570,2280,2.0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,685000,28,10,0,92,710,1060,7.358830898342354,7.358830898342354,7.365180126021013,1,0,1,0,1,0,1,0,0,1
3,1.0,1280,9656,1.0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,309000,29,7,0,55,8376,7468,7.154615356913663,6.824373670043086,7.200424892944957,1,0,1,0,1,0,0,1,1,0
3,2.5,3160,13603,2.0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,488000,18,7,0,11,10443,6182,8.058327306580958,8.058327306580958,8.022896869601457,1,0,1,0,1,0,1,0,1,0
3,1.0,990,8528,1.0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840,210490,25,3,0,49,7538,7612,6.897704943128636,6.897704943128636,7.113142108707088,1,0,0,1,1,0,1,0,1,0
4,2.5,2290,13416,2.0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685,785000,16,7,0,33,11126,11005,7.736307096548285,7.736307096548285,7.893572073504902,1,0,1,0,1,0,1,0,1,0
3,1.75,1250,5963,1.0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,450000,28,4,0,62,4713,4130,7.1308988302963465,7.1308988302963465,6.877296071497429,1,0,0,1,1,0,1,0,0,1
3,1.0,1190,9199,1.0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,228000,16,9,0,59,8009,8174,7.081708586105575,7.081708586105575,7.081708586105575,1,0,1,0,1,0,1,0,0,1
5,2.5,3150,9134,1.0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,345000,17,2,0,49,5984,7143,8.055157731819678,7.402451520818244,7.595889917718538,1,0,0,1,1,0,0,1,1,0
3,1.75,1410,4080,1.0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080,600000,31,12,0,64,2670,2670,7.251344983372214,6.907755278982137,7.251344983372214,1,0,1,0,1,0,0,1,0,1
2,1.75,1980,8550,1.0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738,585000,5,2,0,34,6570,5258,7.590852123688581,6.897704943128636,7.299797366758161,1,0,0,1,1,0,0,1,0,1
5,2.25,2730,6000,1.5,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000,920000,3,3,0,88,3270,3270,7.912056888179006,7.6638772587034705,7.912056888179006,1,0,0,1,1,0,0,1,0,1
4,2.5,2830,5000,2.0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,885000,12,5,0,19,2170,3050,7.948031990637284,7.948031990637284,7.575584651557793,1,0,1,0,1,0,1,0,0,1
4,2.5,2250,4495,2.0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,4500,292500,19,8,0,6,2245,2250,7.718685495198466,7.718685495198466,7.718685495198466,1,0,1,0,1,0,1,0,1,0
3,2.5,2420,4750,2.0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,2690,4750,301000,7,4,0,12,2330,2060,7.791522819150732,7.791522819150732,7.897296472595885,1,0,0,1,1,0,1,0,1,0
5,3.25,3250,14342,2.0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044,951000,27,8,0,46,11092,8084,8.086410275323782,8.086410275323782,7.992944547318106,1,0,1,0,1,0,1,0,1,0
4,3.0,1850,9976,2.0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542,430000,23,2,0,24,8126,6272,7.52294091807237,7.52294091807237,7.727535110475448,1,0,0,1,1,0,1,0,1,0
3,1.75,1260,8400,1.0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750,289000,28,8,0,60,7140,7460,7.138866999945524,7.138866999945524,7.162397497355718,1,0,1,0,1,0,1,0,0,1
3,1.75,2519,8690,2.0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,2500,9500,505000,21,10,0,41,6171,7000,7.831617276352611,7.831617276352611,7.824046010856292,1,0,1,0,1,0,1,0,0,1
3,1.75,1540,1044,3.0,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,1580,3090,549000,7,12,0,0,-496,1510,7.339537695407674,7.339537695407674,7.365180126021013,1,0,1,0,1,0,1,0,0,1
3,2.25,1660,6000,1.0,0,3,7,1110,550,1979,0,98122,47.6113,-122.297,1440,4080,425000,3,6,0,35,4340,2640,7.414572881350589,7.01211529430638,7.272398392570047,1,0,1,0,1,0,0,1,0,1
3,2.75,2770,3809,1.5,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,317625,20,11,0,89,1039,2560,7.926602599181384,7.478734825567875,7.272398392570047,1,0,1,0,1,0,0,1,0,1
4,2.5,2720,11049,2.0,0,3,10,2720,0,1989,0,98004,47.5815,-122.192,2750,11049,975000,9,9,0,25,8329,8299,7.908387159290043,7.908387159290043,7.919356190660617,1,0,1,0,1,0,1,0,1,0
4,2.5,2240,4648,2.0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,2221,4557,287000,9,10,0,9,2408,2336,7.714231144849085,7.714231144849085,7.7057128238944275,1,0,1,0,1,0,1,0,1,0
3,1.0,1000,12070,1.0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,1010,12635,204000,25,8,0,46,11070,11625,6.907755278982137,6.907755278982137,6.917705609835305,1,0,1,0,1,0,1,0,1,0
3,2.0,1260,5612,1.0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745,325000,5,1,0,43,4352,3105,7.138866999945524,7.138866999945524,7.402451520818244,1,0,0,1,1,0,1,0,1,0
4,2.0,2750,7807,1.5,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807,571000,10,6,0,98,5057,6297,7.919356190660617,7.718685495198466,7.31986492980897,1,0,1,0,1,0,0,1,0,1
4,2.5,2380,5000,2.0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000,360000,10,7,0,9,2620,2580,7.77485576666552,7.77485576666552,7.791522819150732,1,0,1,0,1,0,1,0,1,0
4,1.75,1760,7300,1.0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500,380000,13,10,0,58,5540,5820,7.473069088032197,6.779921907472252,7.426549072397305,1,0,1,0,1,0,0,1,1,0
3,1.0,1040,5060,1.0,0,3,7,1040,0,1941,0,98116,47.5636,-122.394,890,5060,480000,20,4,0,74,4020,4170,6.946975992135418,6.946975992135418,6.7912214627261855,1,0,0,1,1,0,1,0,0,1
3,1.0,1410,5060,1.0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693,410000,9,6,0,58,3650,4563,7.251344983372214,6.813444599510896,7.029972911706386,1,0,1,0,1,0,0,1,0,1
3,2.5,2350,5100,2.0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,2350,5363,390000,2,12,0,11,2750,3013,7.762170607138205,7.762170607138205,7.762170607138205,1,0,1,0,1,0,1,0,1,0
4,2.5,1900,5889,2.0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405,360000,22,12,0,22,3989,4535,7.549609165154532,7.549609165154532,7.533693709848633,1,0,1,0,1,0,1,0,1,0
2,1.0,2020,6720,1.0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720,355000,28,10,0,66,4700,5000,7.61085279039525,6.917705609835305,7.450079569807499,1,0,1,0,1,0,0,1,0,1
3,1.5,1680,8712,1.0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797,356000,28,1,0,51,7032,6947,7.426549072397305,7.426549072397305,7.52294091807237,1,0,0,1,1,0,1,0,1,0
3,1.0,960,6634,1.0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203,315000,2,6,0,62,5674,5633,6.866933284461882,6.866933284461882,7.358830898342354,1,0,1,0,1,0,1,0,0,1
3,1.5,2140,3600,2.0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800,940000,14,11,0,89,1460,2780,7.668561108015897,7.549609165154532,7.61085279039525,1,0,1,0,1,0,0,1,0,1
5,2.25,2660,8400,1.5,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165,305000,3,11,0,53,5740,6575,7.886081401775745,7.886081401775745,7.371489295214277,1,0,1,0,1,0,1,0,1,0
3,3.25,2770,6278,2.0,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,1900,7349,461000,18,6,0,8,3508,5449,7.926602599181384,7.590852123688581,7.549609165154532,1,0,1,0,1,0,0,1,1,0
2,2.25,1610,2040,2.0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025,215000,19,5,0,35,430,75,7.383989457978509,7.383989457978509,7.575584651557793,1,0,1,0,1,0,1,0,1,0
2,1.75,1030,1066,2.0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106,335000,4,9,0,8,36,76,6.937314081223682,6.639875833826536,6.937314081223682,1,0,1,0,1,0,0,1,0,1
4,2.5,1980,7403,2.0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510,243500,22,5,0,26,5423,5530,7.590852123688581,7.590852123688581,7.590852123688581,1,0,1,0,1,0,1,0,1,0
5,2.75,3520,6353,2.0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250,1100000,11,3,0,14,2833,3730,8.166216268592143,8.166216268592143,7.832014180505469,1,0,0,1,1,0,1,0,0,1
3,1.0,1200,10500,1.0,0,3,7,1200,0,1962,0,98023,47.322,-122.351,1350,10500,153000,26,2,0,53,9300,9150,7.090076835776092,7.090076835776092,7.2078598714324755,1,0,0,1,1,0,1,0,1,0
3,1.5,1580,5000,1.0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,430000,25,7,0,75,3420,2930,7.365180126021013,7.162397497355718,7.358830898342354,1,0,1,0,1,0,0,1,0,1
3,1.5,1580,5000,1.0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,700000,23,12,0,75,3420,2930,7.365180126021013,7.162397497355718,7.358830898342354,1,0,1,0,1,0,0,1,0,1
4,2.5,3300,10250,1.0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045,905000,8,9,45,68,6950,4095,8.101677747454572,7.779048644925556,7.575584651557793,1,0,1,0,0,1,0,1,1,0
4,1.5,1160,6400,1.0,0,4,7,1160,0,1975,0,98023,47.3036,-122.378,1160,6400,199000,12,9,0,39,5240,5240,7.05617528410041,7.05617528410041,7.05617528410041,1,0,1,0,1,0,1,0,1,0
3,2.5,2070,13241,1.5,0,5,9,1270,800,1910,0,98102,47.6415,-122.315,2200,4500,850830,11,6,0,104,11171,2300,7.635303886259415,7.146772179452637,7.696212639346407,1,0,1,0,1,0,0,1,0,1
3,2.0,1980,3478,1.5,0,4,7,1440,540,1929,0,98117,47.6775,-122.372,1610,3478,555000,27,10,0,85,1498,1868,7.590852123688581,7.272398392570047,7.383989457978509,1,0,1,0,1,0,0,1,0,1
3,2.5,2920,8113,2.0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113,1090000,7,10,60,64,5193,5743,7.979338895262328,7.979338895262328,7.770645234129176,1,0,1,0,0,1,1,0,1,0
3,2.5,2340,10005,1.0,0,4,8,1460,880,1978,0,98058,47.4431,-122.133,2250,8162,375000,2,4,0,37,7665,5912,7.757906208351747,7.286191714702382,7.718685495198466,1,0,0,1,1,0,0,1,1,0
3,1.0,1670,4005,1.5,0,4,7,1170,500,1939,0,98117,47.6878,-122.38,1240,4005,460000,23,5,0,75,2335,2765,7.4205789054108,7.064759027791802,7.122866658599083,1,0,1,0,1,0,0,1,0,1
2,1.75,1240,2493,1.0,0,4,8,1240,0,1985,0,98198,47.3813,-122.322,1270,4966,188500,23,7,0,29,1253,3696,7.122866658599083,7.122866658599083,7.146772179452637,1,0,1,0,1,0,1,0,0,1
5,1.75,2030,12342,2.0,0,4,7,2030,0,1942,0,98052,47.6417,-122.109,2500,9433,470000,27,8,0,72,10312,6933,7.615791072035833,7.615791072035833,7.824046010856292,1,0,1,0,1,0,1,0,1,0
4,2.5,2310,9624,2.0,0,3,8,2310,0,1984,0,98027,47.5386,-122.053,1940,9636,597750,25,7,0,30,7314,7696,7.745002803515839,7.745002803515839,7.570443252057374,1,0,1,0,1,0,1,0,1,0
3,1.75,1260,3328,1.0,0,5,6,700,560,1905,0,98103,47.6823,-122.349,1380,3536,570000,4,3,0,110,2068,2156,7.138866999945524,6.551080335043404,7.22983877815125,1,0,0,1,1,0,0,1,0,1
3,1.75,1540,12600,1.0,0,4,7,1160,380,1980,0,98038,47.3624,-122.031,1540,11656,272500,16,9,0,34,11060,10116,7.339537695407674,7.05617528410041,7.339537695407674,1,0,1,0,1,0,0,1,1,0
3,1.75,2080,5969,1.0,2,3,7,1080,1000,1971,0,98108,47.5474,-122.295,2090,5500,329950,24,11,0,43,3889,3410,7.640123172695364,6.984716320118266,7.644919344958857,1,0,1,0,1,0,0,1,0,1
4,2.5,3230,16171,2.0,3,3,9,2520,710,2001,0,98001,47.3183,-122.253,2640,8517,480000,28,10,0,13,12941,5877,8.080237416216702,7.832014180505469,7.878534196140362,1,0,1,0,1,0,0,1,1,0
3,3.5,4380,6350,2.0,0,3,8,2780,1600,1900,1999,98117,47.6981,-122.368,1830,6350,740500,21,11,99,114,1970,4520,8.384804003370492,7.930206206684683,7.512071245835466,1,0,1,0,0,1,0,1,0,1
3,3.5,1590,1102,3.0,0,3,8,1590,0,2010,0,98103,47.6824,-122.347,1620,3166,518500,26,6,0,4,-488,1546,7.371489295214277,7.371489295214277,7.390181428226429,1,0,1,0,1,0,1,0,0,1
2,1.0,880,6780,1.0,0,4,6,880,0,1945,0,98178,47.5009,-122.248,1190,6780,205425,23,6,0,69,5900,5590,6.779921907472252,6.779921907472252,7.081708586105575,1,0,1,0,1,0,1,0,0,1
4,2.0,1570,9600,1.0,0,3,6,1570,0,1950,0,98168,47.4965,-122.303,1880,9000,171800,8,1,0,65,8030,7120,7.358830898342354,7.358830898342354,7.539027055823995,1,0,0,1,1,0,1,0,0,1
4,1.0,1610,2982,1.5,0,4,7,1610,0,1925,0,98144,47.587,-122.294,1610,4040,535000,11,5,0,90,1372,2430,7.383989457978509,7.383989457978509,7.383989457978509,1,0,0,1,1,0,1,0,0,1
3,2.5,2400,6474,1.0,2,3,8,1560,840,1964,0,98177,47.7728,-122.386,2340,10856,660000,2,1,0,51,4074,8516,7.783224016336037,7.352441100243583,7.757906208351747,1,0,0,1,1,0,0,1,0,1
3,2.0,1450,9132,1.0,0,3,7,1450,0,1987,0,98034,47.7288,-122.226,1580,9104,391500,19,11,0,27,7682,7524,7.27931883541462,7.27931883541462,7.365180126021013,1,0,1,0,1,0,1,0,1,0
2,1.0,770,6000,1.0,0,3,6,770,0,1953,0,98117,47.6999,-122.364,1710,6000,395000,6,4,0,62,5230,4290,6.646390514847729,6.646390514847729,7.444248649496705,1,0,0,1,1,0,1,0,0,1
4,1.75,2100,4400,1.5,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,1850,4400,445000,4,11,0,90,2300,2550,7.649692623711514,7.450079569807499,7.52294091807237,1,0,1,0,1,0,0,1,0,1
3,2.25,2910,10204,2.0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,2700,13992,770000,18,6,0,24,7294,11292,7.975908360165538,7.975908360165538,7.90100705199242,1,0,1,0,1,0,1,0,1,0
4,2.75,2750,17789,1.5,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275,1450000,2,3,78,101,15039,8215,7.919356190660617,7.590852123688581,8.026170194946426,1,0,0,1,0,1,0,1,1,0
3,2.25,2100,8201,1.0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,2660,8712,445000,17,7,0,47,6101,6052,7.649692623711514,7.390181428226429,7.886081401775745,1,0,1,0,1,0,0,1,0,1
4,2.25,2160,8811,1.0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,2090,8400,260000,17,7,0,36,6651,6310,7.67786350067821,7.215239978730097,7.644919344958857,1,0,1,0,1,0,0,1,1,0
5,3.5,2320,4960,2.0,0,5,7,1720,600,1926,0,98103,47.6763,-122.352,1700,4960,822500,13,6,0,88,2640,3260,7.749322464660356,7.450079569807499,7.438383530044307,1,0,1,0,1,0,0,1,0,1
4,2.5,2070,4310,2.0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,1970,3748,430000,6,4,0,11,2240,1778,7.635303886259415,7.635303886259415,7.585788821732034,1,0,0,1,1,0,1,0,1,0
3,1.75,1060,7875,1.0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680,212000,5,1,0,29,6815,6260,6.966024187106113,6.966024187106113,7.258412150595307,1,0,0,1,1,0,1,0,1,0
4,2.25,2010,9603,1.0,0,3,8,1440,570,1986,0,98027,47.5343,-122.054,2060,9793,660500,28,4,0,29,7593,7733,7.605890001053122,7.272398392570047,7.630461261783627,1,0,0,1,1,0,0,1,1,0
3,2.5,2010,2287,2.0,0,3,8,1390,620,2014,0,98029,47.5517,-121.998,1690,1662,453246,12,5,0,0,277,-28,7.605890001053122,7.237059026124737,7.432483807917119,1,0,1,0,1,0,0,1,1,0
4,3.5,2140,2278,3.0,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,1540,2285,675000,26,1,0,10,138,745,7.668561108015897,7.668561108015897,7.339537695407674,1,0,0,1,1,0,1,0,0,1
4,1.75,2020,7840,1.0,0,3,7,1010,1010,1968,0,98003,47.3309,-122.299,1750,8140,220000,5,8,0,46,5820,6390,7.61085279039525,6.917705609835305,7.467371066917559,1,0,1,0,1,0,0,1,1,0
4,2.25,2590,10002,1.0,0,4,8,1340,1250,1968,0,98028,47.7689,-122.266,1550,10436,452000,29,5,0,46,7412,8886,7.859413154693583,7.200424892944957,7.346010209913293,1,0,1,0,1,0,0,1,1,0
2,1.0,1190,4440,1.0,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,1060,5715,382500,7,7,0,33,3250,4655,7.081708586105575,7.081708586105575,6.966024187106113,1,0,1,0,1,0,1,0,0,1
3,2.25,1170,1249,3.0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,1310,519950,7,5,0,0,79,-40,7.064759027791802,7.064759027791802,7.2078598714324755,1,0,1,0,1,0,1,0,0,1
2,1.0,1110,3200,1.0,0,3,7,1110,0,1925,0,98119,47.6338,-122.358,1170,3600,665000,27,6,0,89,2090,2430,7.01211529430638,7.01211529430638,7.064759027791802,1,0,1,0,1,0,1,0,0,1
