bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price,day_bought,month_bought,year_bought,yr_diff_renovated,yr_diff_bought,sqrt_diff,sqrt_diff_15,yr_renovated_binary,basement_binary,zip_binary
3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,230000,24,4,2015,0,46,8524,7570,0,0,0
4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,385000,14,5,2014,0,67,3360,3580,0,1,1
5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,285000,3,7,2014,0,19,4030,4765,0,0,0
2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,252700,16,5,2014,0,29,8573,7166,0,0,0
3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,329000,20,11,2014,0,29,4050,4665,0,0,0
3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,233000,3,11,2014,0,73,2987,3675,0,0,0
3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,937000,26,6,2014,0,99,241,1813,0,1,1
3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,667000,1,12,2014,0,105,181,2001,0,0,1
3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,438000,24,6,2014,0,66,4860,4715,0,1,1
4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,719000,2,3,2015,0,10,4603,3396,0,0,0
3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,580500,10,11,2014,0,11,1660,1400,0,0,0
2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,280000,1,12,2014,0,9,75,366,0,0,1
4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,687500,24,6,2014,0,85,2670,3540,0,1,1
3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,535000,10,11,2014,0,85,1910,3510,0,0,1
4,2.75,2060,6659,1.0,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,322500,3,12,2014,0,33,4599,6700,0,1,0
3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,696000,13,6,2014,72,84,760,1674,1,1,1
4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700,640000,30,12,2014,0,110,3640,2970,0,0,1
4,1.0,1220,8075,1.0,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800,240000,13,2,2015,0,46,6855,6510,0,1,0
4,2.5,2620,7553,2.0,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,605000,20,6,2014,0,18,4933,9264,0,0,0
4,2.5,2570,5520,2.0,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,625000,15,7,2014,0,14,2950,3199,0,0,0
5,2.75,3595,5639,2.0,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,861990,7,7,2014,0,0,2044,2014,0,0,0
3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,685000,28,10,2014,0,92,710,1060,0,0,1
3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,309000,29,7,2014,0,55,8376,7468,0,1,0
3,2.5,3160,13603,2.0,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,488000,18,7,2014,0,11,10443,6182,0,0,0
3,1.0,990,8528,1.0,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840,210490,25,3,2015,0,49,7538,7612,0,0,0
4,2.5,2290,13416,2.0,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685,785000,16,7,2014,0,33,11126,11005,0,0,0
3,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,450000,28,4,2015,0,62,4713,4130,0,0,1
3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,228000,16,9,2014,0,59,8009,8174,0,0,1
5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,345000,17,2,2015,0,49,5984,7143,0,1,0
3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080,600000,31,12,2014,0,64,2670,2670,0,1,1
2,1.75,1980,8550,1.0,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738,585000,5,2,2015,0,34,6570,5258,0,1,1
5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000,920000,3,3,2015,0,88,3270,3270,0,1,1
4,2.5,2830,5000,2.0,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,885000,12,5,2014,0,19,2170,3050,0,0,1
4,2.5,2250,4495,2.0,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,4500,292500,19,8,2014,0,6,2245,2250,0,0,0
3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,2690,4750,301000,7,4,2015,0,12,2330,2060,0,0,0
5,3.25,3250,14342,2.0,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044,951000,27,8,2014,0,46,11092,8084,0,0,0
4,3.0,1850,9976,2.0,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542,430000,23,2,2015,0,24,8126,6272,0,0,0
3,1.75,1260,8400,1.0,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750,289000,28,8,2014,0,60,7140,7460,0,0,1
3,1.75,2519,8690,2.0,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,2500,9500,505000,21,10,2014,0,41,6171,7000,0,0,1
3,1.75,1540,1044,3.0,0,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,1580,3090,549000,7,12,2014,0,0,-496,1510,0,0,1
3,2.25,1660,6000,1.0,0,0,3,7,1110,550,1979,0,98122,47.6113,-122.297,1440,4080,425000,3,6,2014,0,35,4340,2640,0,1,1
3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,317625,20,11,2014,0,89,1039,2560,0,1,1
4,2.5,2720,11049,2.0,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.192,2750,11049,975000,9,9,2014,0,25,8329,8299,0,0,0
4,2.5,2240,4648,2.0,0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,2221,4557,287000,9,10,2014,0,9,2408,2336,0,0,0
3,1.0,1000,12070,1.0,0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,1010,12635,204000,25,8,2014,0,46,11070,11625,0,0,0
3,2.0,1260,5612,1.0,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745,325000,5,1,2015,0,43,4352,3105,0,0,0
4,2.0,2750,7807,1.5,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807,571000,10,6,2014,0,98,5057,6297,0,1,1
4,2.5,2380,5000,2.0,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000,360000,10,7,2014,0,9,2620,2580,0,0,0
4,1.75,1760,7300,1.0,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500,380000,13,10,2014,0,58,5540,5820,0,1,0
3,1.0,1040,5060,1.0,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.394,890,5060,480000,20,4,2015,0,74,4020,4170,0,0,1
3,1.0,1410,5060,1.0,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693,410000,9,6,2014,0,58,3650,4563,0,1,1
3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,2350,5363,390000,2,12,2014,0,11,2750,3013,0,0,0
4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405,360000,22,12,2014,0,22,3989,4535,0,0,0
2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720,355000,28,10,2014,0,66,4700,5000,0,1,1
3,1.5,1680,8712,1.0,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797,356000,28,1,2015,0,51,7032,6947,0,0,0
3,1.0,960,6634,1.0,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203,315000,2,6,2014,0,62,5674,5633,0,0,1
3,1.5,2140,3600,2.0,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800,940000,14,11,2014,0,89,1460,2780,0,1,1
5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165,305000,3,11,2014,0,53,5740,6575,0,0,0
3,3.25,2770,6278,2.0,0,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,1900,7349,461000,18,6,2014,0,8,3508,5449,0,1,0
2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025,215000,19,5,2014,0,35,430,75,0,0,0
2,1.75,1030,1066,2.0,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106,335000,4,9,2014,0,8,36,76,0,1,1
4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510,243500,22,5,2014,0,26,5423,5530,0,0,0
5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250,1100000,11,3,2015,0,14,2833,3730,0,0,1
3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1962,0,98023,47.322,-122.351,1350,10500,153000,26,2,2015,0,53,9300,9150,0,0,0
3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,430000,25,7,2014,0,75,3420,2930,0,1,1
3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,700000,23,12,2014,0,75,3420,2930,0,1,1
4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045,905000,8,9,2014,45,68,6950,4095,1,1,0
4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.378,1160,6400,199000,12,9,2014,0,39,5240,5240,0,0,0
3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,98102,47.6415,-122.315,2200,4500,850830,11,6,2014,0,104,11171,2300,0,1,1
3,2.0,1980,3478,1.5,0,0,4,7,1440,540,1929,0,98117,47.6775,-122.372,1610,3478,555000,27,10,2014,0,85,1498,1868,0,1,1
3,2.5,2920,8113,2.0,0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113,1090000,7,10,2014,60,64,5193,5743,1,0,0
3,2.5,2340,10005,1.0,0,0,4,8,1460,880,1978,0,98058,47.4431,-122.133,2250,8162,375000,2,4,2015,0,37,7665,5912,0,1,0
3,1.0,1670,4005,1.5,0,0,4,7,1170,500,1939,0,98117,47.6878,-122.38,1240,4005,460000,23,5,2014,0,75,2335,2765,0,1,1
2,1.75,1240,2493,1.0,0,0,4,8,1240,0,1985,0,98198,47.3813,-122.322,1270,4966,188500,23,7,2014,0,29,1253,3696,0,0,1
5,1.75,2030,12342,2.0,0,0,4,7,2030,0,1942,0,98052,47.6417,-122.109,2500,9433,470000,27,8,2014,0,72,10312,6933,0,0,0
4,2.5,2310,9624,2.0,0,0,3,8,2310,0,1984,0,98027,47.5386,-122.053,1940,9636,597750,25,7,2014,0,30,7314,7696,0,0,0
3,1.75,1260,3328,1.0,0,0,5,6,700,560,1905,0,98103,47.6823,-122.349,1380,3536,570000,4,3,2015,0,110,2068,2156,0,1,1
3,1.75,1540,12600,1.0,0,0,4,7,1160,380,1980,0,98038,47.3624,-122.031,1540,11656,272500,16,9,2014,0,34,11060,10116,0,1,0
3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,1971,0,98108,47.5474,-122.295,2090,5500,329950,24,11,2014,0,43,3889,3410,0,1,1
4,2.5,3230,16171,2.0,0,3,3,9,2520,710,2001,0,98001,47.3183,-122.253,2640,8517,480000,28,10,2014,0,13,12941,5877,0,1,0
3,3.5,4380,6350,2.0,0,0,3,8,2780,1600,1900,1999,98117,47.6981,-122.368,1830,6350,740500,21,11,2014,99,114,1970,4520,1,1,1
3,3.5,1590,1102,3.0,0,0,3,8,1590,0,2010,0,98103,47.6824,-122.347,1620,3166,518500,26,6,2014,0,4,-488,1546,0,0,1
2,1.0,880,6780,1.0,0,0,4,6,880,0,1945,0,98178,47.5009,-122.248,1190,6780,205425,23,6,2014,0,69,5900,5590,0,0,1
4,2.0,1570,9600,1.0,0,0,3,6,1570,0,1950,0,98168,47.4965,-122.303,1880,9000,171800,8,1,2015,0,65,8030,7120,0,0,1
4,1.0,1610,2982,1.5,0,0,4,7,1610,0,1925,0,98144,47.587,-122.294,1610,4040,535000,11,5,2015,0,90,1372,2430,0,0,1
3,2.5,2400,6474,1.0,0,2,3,8,1560,840,1964,0,98177,47.7728,-122.386,2340,10856,660000,2,1,2015,0,51,4074,8516,0,1,1
3,2.0,1450,9132,1.0,0,0,3,7,1450,0,1987,0,98034,47.7288,-122.226,1580,9104,391500,19,11,2014,0,27,7682,7524,0,0,0
2,1.0,770,6000,1.0,0,0,3,6,770,0,1953,0,98117,47.6999,-122.364,1710,6000,395000,6,4,2015,0,62,5230,4290,0,0,1
4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,1850,4400,445000,4,11,2014,0,90,2300,2550,0,1,1
3,2.25,2910,10204,2.0,0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,2700,13992,770000,18,6,2014,0,24,7294,11292,0,0,0
4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275,1450000,2,3,2015,78,101,15039,8215,1,1,0
3,2.25,2100,8201,1.0,0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,2660,8712,445000,17,7,2014,0,47,6101,6052,0,1,1
4,2.25,2160,8811,1.0,0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,2090,8400,260000,17,7,2014,0,36,6651,6310,0,1,0
5,3.5,2320,4960,2.0,0,0,5,7,1720,600,1926,0,98103,47.6763,-122.352,1700,4960,822500,13,6,2014,0,88,2640,3260,0,1,1
4,2.5,2070,4310,2.0,0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,1970,3748,430000,6,4,2015,0,11,2240,1778,0,0,0
3,1.75,1060,7875,1.0,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680,212000,5,1,2015,0,29,6815,6260,0,0,0
4,2.25,2010,9603,1.0,0,0,3,8,1440,570,1986,0,98027,47.5343,-122.054,2060,9793,660500,28,4,2015,0,29,7593,7733,0,1,0
3,2.5,2010,2287,2.0,0,0,3,8,1390,620,2014,0,98029,47.5517,-121.998,1690,1662,453246,12,5,2014,0,0,277,-28,0,1,0
4,3.5,2140,2278,3.0,0,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,1540,2285,675000,26,1,2015,0,10,138,745,0,0,1
4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,1968,0,98003,47.3309,-122.299,1750,8140,220000,5,8,2014,0,46,5820,6390,0,1,0
4,2.25,2590,10002,1.0,0,0,4,8,1340,1250,1968,0,98028,47.7689,-122.266,1550,10436,452000,29,5,2014,0,46,7412,8886,0,1,0
2,1.0,1190,4440,1.0,0,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,1060,5715,382500,7,7,2014,0,33,3250,4655,0,0,1
3,2.25,1170,1249,3.0,0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,1310,519950,7,5,2014,0,0,79,-40,0,0,1
2,1.0,1110,3200,1.0,0,0,3,7,1110,0,1925,0,98119,47.6338,-122.358,1170,3600,665000,27,6,2014,0,89,2090,2430,0,0,1
5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.128,2820,9375,527700,8,7,2014,0,46,6555,6555,0,1,0
3,1.0,1610,8579,1.0,0,0,4,7,1010,600,1962,0,98058,47.4563,-122.171,1610,8579,205000,8,5,2015,0,53,6969,6969,0,1,0
3,1.0,1060,8097,1.0,0,0,4,7,940,120,1923,0,98133,47.7144,-122.351,1560,7940,420000,15,4,2015,0,92,7037,6380,0,1,1
4,2.25,2030,8517,1.0,0,0,4,8,1380,650,1961,0,98006,47.5495,-122.174,2230,8824,500000,27,2,2015,0,54,6487,6594,0,1,0
4,1.0,2550,4000,2.0,0,0,3,8,2370,180,1905,0,98109,47.6354,-122.353,2200,4000,890000,25,6,2014,0,109,1450,1800,0,1,1
3,1.0,1430,3455,1.0,0,0,3,7,980,450,1947,0,98103,47.6873,-122.336,1450,4599,511000,4,11,2014,0,67,2025,3149,0,1,1
3,2.0,1360,3090,2.0,0,0,3,8,1360,0,1990,0,98103,47.6838,-122.353,1500,3090,532170,20,8,2014,0,24,1730,1590,0,0,1
3,1.0,1110,5000,1.5,0,0,3,7,1110,0,1947,0,98107,47.655,-122.359,1420,5000,560000,9,4,2015,0,68,3890,3580,0,0,1
3,1.0,1250,8200,1.0,0,0,4,7,1250,0,1954,0,98003,47.3255,-122.304,1680,8633,282950,31,3,2015,0,61,6950,6953,0,0,0
1,1.0,700,5100,1.0,0,0,3,7,700,0,1942,0,98115,47.679,-122.3,1010,5100,350000,16,5,2014,0,72,4400,4090,0,0,1
3,1.0,1180,7669,1.0,0,0,4,7,1180,0,1967,0,98058,47.4479,-122.176,1190,7669,215000,28,7,2014,0,47,6489,6479,0,0,0
4,2.75,2640,7500,1.0,0,0,3,8,1620,1020,1967,0,98023,47.3135,-122.369,1980,7875,320000,7,8,2014,0,47,4860,5895,0,1,0
3,2.0,1270,7198,1.5,0,0,3,7,1270,0,1916,2013,98022,47.2086,-121.996,1160,7198,247000,13,11,2014,97,98,5928,6038,1,0,0
4,1.75,1760,11180,1.0,0,0,4,8,1760,0,1968,0,98059,47.4715,-122.118,1730,11180,320000,3,10,2014,0,46,9420,9450,0,0,0
5,2.25,2060,8632,1.0,0,0,3,7,1030,1030,1962,0,98146,47.4877,-122.335,1010,11680,255000,7,5,2014,0,52,6572,10670,0,1,1
3,1.75,1780,9660,1.0,0,0,3,7,1780,0,1962,0,98034,47.7171,-122.193,1200,9660,438000,9,3,2015,0,53,7880,8460,0,0,0
3,2.5,3400,16603,2.0,0,0,3,10,3400,0,2000,0,98075,47.6012,-122.023,3400,12601,900000,4,3,2015,0,15,13203,9201,0,0,0
3,2.75,1910,7280,1.0,0,0,3,7,1160,750,1979,0,98034,47.7319,-122.224,1710,8152,441000,20,6,2014,0,35,5370,6442,0,1,0
3,1.75,1580,7000,1.0,0,0,3,7,1180,400,1976,0,98034,47.7209,-122.168,1640,7500,370000,8,12,2014,0,38,5420,5860,0,1,0
2,1.75,1340,7250,1.0,0,0,5,5,700,640,1949,0,98198,47.408,-122.327,1830,9750,269950,19,2,2015,0,66,5910,7920,0,1,1
4,2.5,2680,4499,2.0,0,0,3,9,2680,0,1999,0,98006,47.565,-122.125,2920,4500,807100,24,3,2015,0,16,1819,1580,0,0,0
3,2.5,2680,9750,1.0,0,0,4,8,1610,1070,1979,0,98034,47.7028,-122.231,2480,8750,653000,5,6,2014,0,35,7070,6270,0,1,0
3,2.0,1370,8336,1.0,0,0,5,7,1370,0,1964,0,98133,47.7458,-122.331,1770,7288,371500,11,6,2014,0,50,6966,5518,0,0,1
3,1.75,2160,7140,1.0,0,0,4,7,1670,490,1978,0,98023,47.3026,-122.374,1930,7350,272000,2,1,2015,0,37,4980,5420,0,1,0
3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,98133,47.7658,-122.339,1480,7940,313000,2,5,2014,0,59,6572,6460,0,0,1
4,2.25,2590,8190,2.0,0,0,4,8,2590,0,1980,0,98006,47.5619,-122.125,2260,8335,673000,29,9,2014,0,34,5600,6075,0,0,0
3,2.5,1120,1100,2.0,0,0,3,8,820,300,2008,0,98122,47.6106,-122.31,1590,1795,425000,10,2,2015,0,7,-20,205,0,1,1
5,2.75,1970,5400,1.0,0,0,3,7,1320,650,1986,0,98144,47.5868,-122.308,1280,2150,399950,9,7,2014,0,28,3430,870,0,1,1
3,1.0,1220,4800,1.0,0,0,3,6,1220,0,1901,0,98122,47.6101,-122.307,1200,4800,385000,30,5,2014,0,113,3580,3600,0,0,1
3,1.5,1950,7560,1.0,0,2,4,7,1320,630,1975,0,98022,47.1976,-121.999,1950,8941,269950,17,11,2014,0,39,5610,6991,0,1,0
2,1.0,1350,8220,1.0,0,0,3,7,1060,290,1949,0,98177,47.7224,-122.358,1540,8280,330000,7,1,2015,0,66,6870,6740,0,1,1
3,2.5,1670,5797,2.0,0,0,3,7,1670,0,1988,0,98030,47.3505,-122.179,1670,6183,260000,25,7,2014,0,26,4127,4513,0,0,0
4,3.0,2380,5125,1.5,0,0,4,7,1680,700,1925,0,98126,47.5384,-122.376,1410,5375,470000,14,4,2015,0,90,2745,3965,0,1,1
4,3.0,2440,9600,2.0,0,0,5,7,2440,0,1961,0,98034,47.7044,-122.2,2290,9600,589000,13,6,2014,0,53,7160,7310,0,0,0
2,1.5,1050,3419,2.0,0,0,3,7,1050,0,1996,0,98038,47.3848,-122.039,1050,3417,163500,23,7,2014,0,18,2369,2367,0,0,0
4,2.75,3130,13412,2.0,0,0,3,9,2140,990,1993,0,98052,47.6993,-122.102,2260,9984,835000,5,9,2014,0,21,10282,7724,0,1,0
5,3.0,4090,12850,1.0,0,2,4,10,2090,2000,1986,0,98033,47.6627,-122.188,2540,10270,1100000,21,11,2014,0,28,8760,7730,0,1,0
4,1.75,1490,10000,1.0,0,0,4,8,1100,390,1969,0,98023,47.3099,-122.379,2190,8910,269000,15,4,2015,0,46,8510,6720,0,1,0
3,2.5,1900,8744,2.0,0,0,3,8,1900,0,1987,0,98074,47.62,-122.043,2030,8744,560000,5,5,2014,0,27,6844,6714,0,0,0
4,1.0,1330,2400,1.5,0,0,4,6,1330,0,1901,0,98103,47.65,-122.34,1330,4400,615000,18,4,2015,0,114,1070,3070,0,0,1
3,2.25,2230,10026,1.0,0,0,3,8,1430,800,1975,0,98052,47.6647,-122.153,2230,9340,585188,5,12,2014,0,39,7796,7110,0,1,0
3,1.75,1650,9480,1.0,0,0,3,7,1220,430,1977,0,98034,47.726,-122.191,1540,8400,305000,18,8,2014,0,37,7830,6860,0,1,0
3,1.0,1190,8820,1.0,0,0,3,6,1190,0,1959,0,98058,47.4616,-122.184,1230,7980,166950,5,11,2014,0,55,7630,6750,0,0,0
3,2.5,2140,9897,1.0,0,0,4,8,2140,0,1959,0,98040,47.5505,-122.219,2680,10083,799000,12,9,2014,0,55,7757,7403,0,0,0
3,2.5,2180,7508,1.0,0,0,4,7,1420,760,1962,0,98133,47.7606,-122.336,1900,7818,400000,25,6,2014,0,52,5328,5918,0,1,1
3,1.0,1060,10228,1.0,0,0,3,7,1060,0,1948,0,98155,47.7481,-122.3,1570,10228,230000,1,12,2014,0,66,9168,8658,0,0,1
3,2.5,1690,5025,2.0,0,0,3,8,1690,0,2003,0,98023,47.2779,-122.347,2550,5001,256883,15,5,2014,0,11,3335,2451,0,0,0
4,2.0,1970,6480,1.5,0,0,5,7,1130,840,1920,0,98108,47.5511,-122.312,1500,6480,423000,11,11,2014,0,94,4510,4980,0,1,1
3,2.5,2150,4084,2.0,0,0,3,8,2150,0,2007,0,98126,47.5488,-122.372,1750,2385,465000,23,7,2014,0,7,1934,635,0,0,1
3,1.0,860,11725,1.0,0,0,4,6,860,0,1943,0,98056,47.5093,-122.184,1300,9514,210000,11,3,2015,0,72,10865,8214,0,0,0
3,2.5,1940,14952,2.0,0,0,3,8,1940,0,1994,0,98042,47.3777,-122.165,2030,10450,297000,12,11,2014,0,20,13012,8420,0,0,0
3,1.0,1010,5000,1.0,0,0,3,7,1010,0,1952,0,98107,47.675,-122.394,1680,5000,470000,16,7,2014,0,62,3990,3320,0,0,1
